id	filename	md5	size	state
fe320d9c-ecc4-44b6-9a24-7701b8172a58	3067f41a-e3f1-47f5-9545-56d54fa75b98.htseq.counts.gz	8435d8b72c2b2751a5a0093886f7d262	258910	released
e6d55cfa-4773-4130-9d1d-6959c7412a05	b9e7b7b5-54e8-4459-8a21-ea3472b013d7.htseq.counts.gz	df74f25611078998acdeecf0f7cea406	251744	released
51bda076-9ed0-4b37-8c45-c558ac585fe4	ad2fae5f-ac5e-466a-9aef-8bd77ba15961.htseq.counts.gz	2cb06cb745195cf38a040765379d6c47	257650	released
5a37624c-ffba-479d-a52c-495afeba642f	9350b57b-9f7b-43c6-a42b-9ddae857af0a.htseq.counts.gz	5af76b3e9d84a03508f581592d1dd0c3	252536	released
cd57ddc1-3975-45af-b6a3-ae68ad107503	e4698729-7951-474d-b2d2-d0fbf6d5793f.htseq.counts.gz	53c1cc657302aa62ef347a955deaf392	253697	released
763a0283-1757-4556-a291-b06b1fee4363	97f034ef-f311-475c-9d91-d6b639840ea7.htseq.counts.gz	2987555f374787d9e1666badaf9c5d8c	254083	released
32569808-8653-4ae0-9872-24d487e2a531	1119c89a-a4db-4962-8578-997bf19b7b23.htseq.counts.gz	31b9cef06a74e3b2ad24a95d6699b008	251326	released
f807e5d8-c4a1-4b28-9801-cef7cd5f3afa	56b1cfde-d0f9-472f-bb70-f1fd1f6fa7a4.htseq.counts.gz	d888db8ef2e23cf1fde3374f111f6673	256573	released
e4a64f45-b9c8-4f93-93cb-3af607a9e19d	fd55692a-cd56-459b-8edb-ba83a735e665.htseq.counts.gz	5275378be9b0d29f9b72e2ce548b32bb	257567	released
f1738145-2f3e-44a7-ad84-bd5bec2844d5	d6b9e128-8f20-43a1-9d16-b3e2b3d60e34.htseq.counts.gz	5780d63a2746ea9a98194e49385391e3	255162	released
c59cf717-163b-489f-a5ce-cfa78372063a	63a39ca4-6ea7-468e-b726-b3b8ce17d7b1.htseq.counts.gz	abdadd59048ecab33415084e43f0d4eb	254584	released
b78740ea-66ee-4ed4-b5e8-a2b2ae621c33	9da11996-ba83-4163-bc96-c20a038ee77b.htseq.counts.gz	7f4f67f8a14519c3baa666eeb2b83475	260099	released
203eb0fe-47e0-4b50-bf3a-81ff71afd926	445fb7df-2bd7-4324-9423-23b573ada13d.htseq.counts.gz	179fb41e174ba74c978493026732790a	252481	released
e972ee01-935f-4fff-b9cc-57acbe53876a	a60ed4b8-a041-4b38-b961-fc976b254702.htseq.counts.gz	6608cb1a3c5fcc2e5db62e7f14943746	253066	released
033393d5-58a2-4513-9e09-bc95a70e0be5	78e16228-2d9f-4e19-bbd2-b0bb85e8faa2.htseq.counts.gz	450ee16aebf7831d501443afc7d194f6	257959	released
